Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
  495.9,1.02E+05,,,,,,,,,,,,,,,,,,,,,,,,
  496.9,1.06E+05,,,,,,,,,,,,,,,,,,,,,,,,
  498,1.14E+05,,,,,,,,,,,,,,,,,,,,,,,,
  499,1.25E+05,,,,,,,,,,,,,,,,,,,,,,,,
  500,1.40E+05,,,,,,,,,,,,,,,,,,,,,,,,
  501,1.61E+05,,,,,,,,,,,,,,,,,,,,,,,,
  502,1.88E+05,,,,,,,,,,,,,,,,,,,,,,,,
  503.1,2.27E+05,,,,,,,,,,,,,,,,,,,,,,,,
  504.1,2.70E+05,,,,,,,,,,,,,,,,,,,,,,,,
  505.1,3.23E+05,,,,,,,,,,,,,,,,,,,,,,,,
  506.1,3.85E+05,,,,,,,,,,,,,,,,,,,,,,,,
  507.1,4.55E+05,,,,,,,,,,,,,,,,,,,,,,,,
  508.2,5.42E+05,,,,,,,,,,,,,,,,,,,,,,,,
  509.2,6.26E+05,,,,,,,,,,,,,,,,,,,,,,,,
  510.2,7.15E+05,,,,,,,,,,,,,,,,,,,,,,,,
  511.2,8.05E+05,,,,,,,,,,,,,,,,,,,,,,,,
  512.2,8.93E+05,,,,,,,,,,,,,,,,,,,,,,,,
  513.3,9.82E+05,,,,,,,,,,,,,,,,,,,,,,,,
  514.3,1.05E+06,,,,,,,,,,,,,,,,,,,,,,,,
  515.3,1.11E+06,,,,,,,,,,,,,,,,,,,,,,,,
  516.3,1.16E+06,,,,,,,,,,,,,,,,,,,,,,,,
  517.3,1.18E+06,,,,,,,,,,,,,,,,,,,,,,,,
  518.4,1.19E+06,,,,,,,,,,,,,,,,,,,,,,,,
  519.4,1.17E+06,,,,,,,,,,,,,,,,,,,,,,,,
  520.4,1.14E+06,,,,,,,,,,,,,,,,,,,,,,,,
  521.4,1.09E+06,,,,,,,,,,,,,,,,,,,,,,,,
  522.4,1.02E+06,,,,,,,,,,,,,,,,,,,,,,,,
  523.5,9.39E+05,,,,,,,,,,,,,,,,,,,,,,,,
  524.5,8.53E+05,,,,,,,,,,,,,,,,,,,,,,,,
  525.5,7.64E+05,,,,,,,,,,,,,,,,,,,,,,,,
  526.5,6.74E+05,,,,,,,,,,,,,,,,,,,,,,,,
  527.6,5.77E+05,,,,,,,,,,,,,,,,,,,,,,,,
  528.6,4.94E+05,,,,,,,,,,,,,,,,,,,,,,,,
  529.6,4.17E+05,,,,,,,,,,,,,,,,,,,,,,,,
  530.6,3.48E+05,,,,,,,,,,,,,,,,,,,,,,,,
  531.6,2.87E+05,,,,,,,,,,,,,,,,,,,,,,,,
  532.7,2.30E+05,,,,,,,,,,,,,,,,,,,,,,,,
  533.7,1.87E+05,,,,,,,,,,,,,,,,,,,,,,,,
  534.7,1.51E+05,,,,,,,,,,,,,,,,,,,,,,,,
  535.7,1.23E+05,,,,,,,,,,,,,,,,,,,,,,,,
  536.7,1.01E+05,,,,,,,,,,,,,,,,,,,,,,,,
  537.8,8.25E+04,,,,,,,,,,,,,,,,,,,,,,,,
  538.8,7.06E+04,,,,,,,,,,,,,,,,,,,,,,,,
  539.8,6.24E+04,,,,,,,,,,,,,,,,,,,,,,,,
  540.8,5.72E+04,,,,,,,,,,,,,,,,,,,,,,,,
  541.8,5.46E+04,,,,,,,,,,,,,,,,,,,,,,,,
  542.9,5.41E+04,,,,,,,,,,,,,,,,,,,,,,,,
  543.9,5.53E+04,,,,,,,,,,,,,,,,,,,,,,,,
  544.9,5.79E+04,,,,,,,,,,,,,,,,,,,,,,,,
  545.9,6.16E+04,,,,,,,,,,,,,,,,,,,,,,,,
  546.9,6.60E+04,,,,,,,,,,,,,,,,,,,,,,,,
  548,7.15E+04,,,,,,,,,,,,,,,,,,,,,,,,
  549,7.67E+04,,,,,,,,,,,,,,,,,,,,,,,,
  550,8.21E+04,,,,,,,,,,,,,,,,,,,,,,,,
  551,8.72E+04,,,,,,,,,,,,,,,,,,,,,,,,
  552,9.19E+04,,,,,,,,,,,,,,,,,,,,,,,,
  553.1,9.63E+04,,,,,,,,,,,,,,,,,,,,,,,,
  554.1,9.95E+04,,,,,,,,,,,,,,,,,,,,,,,,
  555.1,1.02E+05,,,,,,,,,,,,,,,,,,,,,,,,
  556.1,1.03E+05,,,,,,,,,,,,,,,,,,,,,,,,
  557.1,1.03E+05,,,,,,,,,,,,,,,,,,,,,,,,
  558.2,1.01E+05,,,,,,,,,,,,,,,,,,,,,,,,
  559.2,9.86E+04,,,,,,,,,,,,,,,,,,,,,,,,
  560.2,9.50E+04,,,,,,,,,,,,,,,,,,,,,,,,
  561.2,9.04E+04,,,,,,,,,,,,,,,,,,,,,,,,
  562.2,8.50E+04,,,,,,,,,,,,,,,,,,,,,,,,
  563.3,7.83E+04,,,,,,,,,,,,,,,,,,,,,,,,
  564.3,7.18E+04,,,,,,,,,,,,,,,,,,,,,,,,
  565.3,6.51E+04,,,,,,,,,,,,,,,,,,,,,,,,
  566.3,5.84E+04,,,,,,,,,,,,,,,,,,,,,,,,
  567.3,5.18E+04,,,,,,,,,,,,,,,,,,,,,,,,
  568.4,4.50E+04,,,,,,,,,,,,,,,,,,,,,,,,
  569.4,3.92E+04,,,,,,,,,,,,,,,,,,,,,,,,
  570.4,3.40E+04,,,,,,,,,,,,,,,,,,,,,,,,
  571.4,2.94E+04,,,,,,,,,,,,,,,,,,,,,,,,
  572.4,2.53E+04,,,,,,,,,,,,,,,,,,,,,,,,
  573.5,2.16E+04,,,,,,,,,,,,,,,,,,,,,,,,
  574.5,1.88E+04,,,,,,,,,,,,,,,,,,,,,,,,
  575.5,1.66E+04,,,,,,,,,,,,,,,,,,,,,,,,
  576.5,1.48E+04,,,,,,,,,,,,,,,,,,,,,,,,
  577.6,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,
  578.6,1.24E+04,,,,,,,,,,,,,,,,,,,,,,,,
  579.6,1.17E+04,,,,,,,,,,,,,,,,,,,,,,,,
  580.6,1.12E+04,,,,,,,,,,,,,,,,,,,,,,,,
  581.6,1.09E+04,,,,,,,,,,,,,,,,,,,,,,,,
  582.7,1.07E+04,,,,,,,,,,,,,,,,,,,,,,,,
  583.7,1.07E+04,,,,,,,,,,,,,,,,,,,,,,,,
  584.7,1.07E+04,,,,,,,,,,,,,,,,,,,,,,,,
  585.7,1.07E+04,,,,,,,,,,,,,,,,,,,,,,,,
  586.7,1.08E+04,,,,,,,,,,,,,,,,,,,,,,,,
  587.8,1.09E+04,,,,,,,,,,,,,,,,,,,,,,,,
  588.8,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,
  589.8,1.12E+04,,,,,,,,,,,,,,,,,,,,,,,,
  590.8,1.15E+04,,,,,,,,,,,,,,,,,,,,,,,,
  591.8,1.18E+04,,,,,,,,,,,,,,,,,,,,,,,,
  592.9,1.23E+04,,,,,,,,,,,,,,,,,,,,,,,,
